country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,1.25,3.5,5.82,8.28,11.2,14.9,19.5,25,31.5,38.6,46.4,55.3,67.1,83.9,106,130,156,181,183,190,212,200,198,201,216,225,227
Iran,0.43,0.48,0.53,0.57,0.62,0.68,0.76,0.9,1.1,1.38,1.75,2.21,2.76,3.33,3.9,4.3,3.28,2.42,1.54,1.31,1.29,0.84,0.54,0.47,0.46,0.33,0.24
Iraq,1.43,1.65,1.88,2.13,2.42,2.74,3.11,3.54,4.08,4.72,5.44,6.21,7.01,7.78,8.6,9.5,10.5,11.7,13.1,14.8,16.8,18.8,21,23.4,26.2,27.8,23.9
Ireland,0.26,0.41,0.66,0.62,0.57,0.73,0.53,0.24,0.24,0.35,0.09,0.15,0.18,0.23,0.16,0.14,0.09,0.22,0.29,0.23,0.24,0.19,0.16,0.16,0.15,0.14,0.13
Israel,2.56,2.92,2.74,3.16,1.83,2.62,1.66,1.61,1.84,1.97,1.43,1.8,1.55,1.8,1.62,1.8,1.57,1.9,1.72,1.9,1.42,1.97,1.88,1.94,1.65,1.59,1.51
Italy,14.4,19.7,24.4,21.9,25.5,20.9,19.4,12.3,7.18,6.34,5.3,6.95,6.9,6.48,6.82,6.78,6.32,6.41,6.79,6.76,6.15,5.78,6.26,5.37,4.95,4.69,4.4
Jamaica,4.68,6.64,8.89,11.3,13.9,16.6,19.1,21.6,23.8,25.7,27.2,28,27.2,25.3,24.1,14.6,2.88,0.81,0.88,0.69,0.52,0.5,0.47,0.5,0.47,0.63,1.46
Japan,6.67,7.25,6.45,7.6,10.6,15.1,15.1,15.7,14.1,15,9.58,10.2,9.35,9.35,8.77,9.1,9.11,9.18,8.35,8.12,7.74,7.43,7.32,6.67,6.23,5.82,5.42
Jordan,0.09,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.3,0.32,0.33,0.35,0.36,0.38,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.36,0.37,0.4,0.4,0.39,0.27
Kazakhstan,5.62,16.9,18.4,18.2,21.5,25.5,27.3,25.9,22.3,18.7,14.3,12.8,12.3,10.9,11.6,12.4,13.6,11.6,10.4,12,11.7,10.8,10.3,9.64,9.02,9.34,8.83
Kenya,2860,4070,5510,7110,8760,10300,11700,12700,13400,13700,13800,13600,13100,12600,11900,10600,8900,7330,5440,4580,3920,3180,2860,2790,2280,2910,3160
Kiribati,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01
Kuwait,2.5,2.37,2.5,3.79,1.54,2.54,1.97,1.03,1.91,1.51,1.21,1.12,1.67,1.25,1.16,2.23,1.37,1.86,1.67,2.18,1.82,1.47,1.89,1.27,1.87,1.4,1.29
Kyrgyz Republic,3.06,5.48,3.11,3.33,3.73,9.09,8.57,8.77,38.6,44.6,21.2,22.2,18.9,16.5,15.6,16.7,18.3,9.43,8.85,15.7,14.6,17.9,22.3,23.6,17.3,15.7,14.5
